"Symbol","Name","last","change","changepercent","open","high","low","bid","ask","vwap","sharevolume","dividend yield","beta","marketcap","sharesoutstanding","eps","peratio","pbratio","week52high","week52low","week52highvwap","week52lowvwap","week52highvol","week52lowvol","week52avgvol"
"WRN","Western Copper and Gold Corporation",1.71,-0.07,-3.932584,1.75,1.78,1.61,1.65,1.73,1.68857807,804700,,2.762371063232422,231871956,135747635,-0.029999999,-61.9,4.171,2.43,0.44,2.2983,0.4806,1141918,3000,155293
"XAU","GoldMoney Inc.",3.07,0.01,0.326797,3.1,3.13,2.95,3.02,3.07,3.01287354,139883,,-0.664883017539978,231635988,75511159,0.119999997,26,1.248,4.41,1.4,4.0981,1.5808,635737,7842,114389
"MBCN","MindBeacon Holdings Inc.",9.75,0,0,10.1,10.1,9.51,9.6,9.99,9.77877711,18964,,0.18547700345516205,230432524,23719790,-0.330000013,-31.8,33.621,15.11,9.52,13.0822,9.7788,1327398,11891,19665
"CERV","Cervus Equipment Corporation",15,-0.24,-1.574803,15,15.1,14.9,14.8,15,14.9945813,42224,1.6,1.6277049779891968,230400000,15382219,0.800000011,18.5,0.947,15.29,4.74,15.0345,5.2981,650987,4,22050
"NXR.UN","Nexus Real Estate Investment Trust",8.11,0.01,0.123457,8.09,8.14,8.08,8.1,8.14,8.09638342,72120,7.89,0.9964190125465393,228434370,32326696,2.01999998,4,0.79,8.85,4.37,8.6299,5.2693,248278,1156,37490
"MPC","Madison Pacific Properties Inc.",3.9,-0.35,-8.235294,4.09,4.33,3.9,3.92,4.06,4.13230769,2600,2.692,0.37207698822021484,228425266,7255492,0.439999997,9.4,0.62,4.47,3.1,4.4372,3.1,70500,5,792
"MPC.C","Madison Pacific Properties Inc. Class C Non-Voting Shares",3.9,0,0,,,,3.66,3.9,3.898923,0,2.692,0.16941900551319122,228425266,51315089,0.579999983,8.3,0.62,4,2.05,3.9,2.55,225000,5,3310
"IFC.PR.G","Intact Financial Corporation Non-cumulative Rate Reset Class A Shares Series 7",22.81,0.01,0.04386,23,23,22.8,22.8,23,22.8572222,1928,5.37,0.7839620113372803,228100000,10000000,,,,23.42,11,23.2602,11.8944,79347,200,8145
"ENB.PF.E","Enbridge Inc. cumulative redeemable preference shares Series 13",16.19,-0.01,-0.061728,16.19,16.2,16.15,16.18,16.2,16.1883928,6094,4.699,1.2209620475769043,226660000,14000000,,,,16.21,8.77,16.1957,9.0988,113975,30,15869
"FFH.PR.M","Fairfax Financial Holdings Limited Cumulative 5-Year Rate Reset Preferred Shares Series M",24.51,0.01,0.040816,24.57,24.58,24.4,24.5,24.55,24.5135,6046,4.845,0.7451599836349487,225492000,9200000,,,,24.7,13.29,24.5572,13.5601,72400,100,8412
"MIN","Excelsior Mining Corp.",0.82,0,0,0.82,0.83,0.78,0.81,0.84,0.805257142,266035,,2.2125840187072754,225024264,274419834,-0.07,-13.2,7.455,1.2,0.42,1.143,0.4269,2787845,1000,155233
"DR","Medical Facilities Corporation",7.23,0.13,1.830986,7.14,7.25,7,7.23,7.28,7.12622418,34681,3.873,0.9080380201339722,224898253,31057233,1.38999998,5.2,1.341,7.62,2.25,7.5354,2.3742,440403,14372,101870
"RVX","Resverlogix Corp.",0.96,0.05,5.494505,0.9,0.96,0.89,0.95,0.96,0.938253968,32125,,0.2804119884967804,224627870,235064311,0.05,16.8,-3.31,1.52,0.57,1.4405,0.5903,440659,3466,63611
"ENB.PR.H","Enbridge Inc. cumulative redeemable preference shares series H",16.01,0.01,0.0625,16,16.01,15.98,16,16.05,15.9974418,8600,6.833,1.0872290134429932,224140000,14000000,,,,16.1,8.57,16.006,8.8293,139000,900,15769
"MFC.PR.N","Manulife Financial Corporation Non-Cumulative Rate Reset Class 1 Shares Series 19",22.41,0.01,0.044643,22.41,22.41,22.41,22.4,22.68,22.41,1130,4.239,1.0624300241470337,224100000,10000000,,,,24.32,9.11,22.88,9.6712,228728,86,7326
"EFL","Electrovaya Inc.",1.66,-0.14,-7.777778,1.75,1.81,1.56,1.65,1.66,1.67048413,1180809,,2.248528003692627,219182260,139392511,0.029999999,73.5,-20.75,2.5,0.16,2.3225,0.1654,2352247,1500,357718
"FTN.PR.A","Financial 15 Split Corp. Preferred Shares",10.39,-0.01,-0.096154,10.39,10.44,10.39,10.4,10.42,10.415,7928,6.497,0.4763309955596924,219118669,21089381,,,,10.57,6.83,10.5123,6.9902,771235,950,44839
"MDNA","Medicenna Therapeutics Corp.",4.46,-0.27,-5.708245,4.73,4.73,4.11,4.46,4.6,4.38357114,227148,,0.6832600235939026,217639004,48847026,-0.189999997,,89.2,7.25,2.16,7.0648,2.3379,1084963,6148,92512
"BAM.PR.Z","Brookfield Asset Management Inc. Class A Preference Shares Series 30",22.19,-0.05,-0.22482,22.19,22.2,22.1,22.04,22.2,22.1796,2779,5.278,0.8166850209236145,217175527,9790274,,,,22.5,11,22.4282,11.6557,52000,25,6660
"BNAU","Battle North Gold Corporation",1.66,0.03,1.840491,1.61,1.69,1.58,1.6,1.69,1.62107085,63677,,1.4846049547195435,214514787,129225775,-0.219999998,-7.8,3.388,2.28,0.55,2.2343,0.605,10545135,400,307830
"EMA.PR.C","Emera Incorporated Cumulative Rate Reset First Preferred Shares Series C",21.39,0.14,0.658824,20.96,21.5,20.96,21.01,21.4,21.3990767,6624,5.518,0.8503900170326233,213900000,10000000,,,,21.89,11.94,21.4868,12.1531,114029,100,7566
"BPO.PR.A","Brookfield Office Properties Inc. Class AAA Preference Shares Series AA",17.78,0.14,0.793651,17.85,17.85,17.77,17.71,17.79,17.8199999,5689,6.621,1.086974024772644,213360000,12000000,,,,17.86,10,17.82,10.1439,188873,300,14797
"ATE","Antibe Therapeutics Inc.",4.68,0.04,0.862069,4.76,4.79,4.35,4.65,4.7,4.55700144,356656,,-0.014894999563694,212973846,45538266,-0.790000021,-6.5,12.649,8.9,3.05,7.7119,3.1325,2126720,7857,158339
"JOSE","Josemaria Resources Inc.",0.7,0,0,0.7,0.73,0.68,0.7,0.71,0.704910173,167570,,1.4857419729232788,211815246,302593209,-0.119999997,-6.3,-17.5,0.92,0.32,0.8998,0.4349,7798838,3,159148
"CU.PR.G","Canadian Utilities Limited cumulative redeemable second preferred shares series DD",23.35,-0.21,-0.891341,23.42,23.5,23.3,23.3,23.69,23.3938068,17647,4.818,0.5685660243034363,210150000,9000000,,,,24.47,16.04,24.38,16.5656,81900,35,6504
"TRP.PR.G","TC Energy Corporation cumulative redeemable first preferred shares series 11",20.81,-0.14,-0.668258,20.88,20.88,20.8,20.8,20.85,20.8132608,4676,4.026,0.8485940098762512,208100000,10000000,,,,20.96,10.37,20.8133,10.7591,240360,2,8906
"LBS","Life & Banc Split Corp. Class A Shares",7.97,0.21,2.706186,7.8,7.97,7.8,7.95,7.97,7.85915894,151844,15.056,2.190160036087036,206324634,29817208,-2.60999989,,0.792,8.1,2.91,7.9458,3.364,1236024,6350,87285
