Segment,Sector,Issuer Name,ISIN,Sedol,Security Type,MiFIR Identifier,Currency,Trading Parameter Code,Price Tick Table ID,Country of Register,Mnemonic,Short Name,Long Name,EMS,Max Spread Floor,Max Spread Perc.,ADT / PTS (EU),ADT / PTS (UK),Issuer Version Start Date
SET1,FS10,HARGREAVES LANSDOWN PLC,GB00B1VZ0M25,B1VZ0M2,DE,SHRS,GBX,TP_2,TM_47,GB,HL.,HARGREAVES LANS,ORD 0.4P,1000,1,5,61734032,62653839,15/08/2017
SET1,FS10,SMITHS GROUP PLC,GB00B1WY2338,B1WY233,DE,SHRS,GBX,TP_2,TM_47,GB,SMIN,SMITHS GROUP,ORD 37.5P,1500,1,5,44549213,45256344,15/08/2017
SET1,FS10,DCC PLC,IE0002424939,0242493,IE,SHRS,GBX,TP_2,TM_47,IE,DCC,DCC,ORD EUR0.25,300,1,5,50169601,50965944,04/12/2017
SET1,FS10,MONDI PLC,GB00B1CRLC47,B1CRLC4,DE,SHRS,GBX,TP_2,TM_47,GB,MNDI,MONDI,ORD EUR 0.20,1000,1,5,94135919,95630140,15/08/2017
SET1,FS10,3I GROUP PLC,GB00B1YW4409,B1YW440,DE,SHRS,GBX,TP_2,TM_47,GB,III,3I GRP.,ORD 73 19/22P,2000,1,5,67251299,68318781,15/08/2017
SET1,FS10,FRESNILLO PLC,GB00B2QPKJ12,B2QPKJ1,DE,SHRS,GBX,TP_2,TM_47,GB,FRES,FRESNILLO,ORD USD0.50,2000,1,5,37072384,37219498,23/03/2020
SET1,FS10,UNITED UTILITIES GROUP PLC,GB00B39J2M42,B39J2M4,DE,SHRS,GBX,TP_2,TM_47,GB,UU.,UTD. UTILITIES,ORD 5P,2000,1,5,61674190,62653146,15/08/2017
SET1,FS10,SEGRO PLC,GB00B5ZN1N88,B5ZN1N8,DE,SHRS,GBX,TP_2,TM_47,GB,SGRO,SEGRO,ORD 10P,2000,1,5,65104240,66245352,05/04/2018
SET1,FS10,ENTAIN PLC,IM00B5VQMV65,B5VQMV6,IE,SHRS,GBX,TP_2,TM_47,IM,ENT,ENTAIN,ORD EUR0.01,2000,1,5,75593991,76793896,10/12/2020
SET1,FS10,INTL CONSOLIDATED AIRLINES GROUP SA,ES0177542018,B5M6XQ7,DE,SHRS,GBX,TP_2,TM_47,GB,IAG,INTL CONSOL AIR,ORD EUR0.10 (CDI),5000,1,5,207872066,210346734,11/09/2020
SET1,FS10,ROLLS-ROYCE HOLDINGS PLC,GB00B63H8491,B63H849,DE,SHRS,GBX,TP_2,TM_47,GB,RR.,ROLLS-ROYCE HLG,ORD SHS 20P,3000,1,5,170977570,173691500,16/09/2019
SET1,FS10,POLYMETAL INTERNATIONAL PLC,JE00B6T5S470,B6T5S47,IE,SHRS,GBX,TP_2,TM_47,JE,POLY,POLYMETAL INT,ORD NPV,1000,1,5,37176526,37766630,23/09/2019
SET1,FS10,EVRAZ PLC,GB00B71N6K86,B71N6K8,DE,SHRS,GBX,TP_2,TM_47,GB,EVR,EVRAZ,ORD USD0.05,3000,1,5,51837863,52660687,12/07/2018
SET1,FS10,WPP PLC,JE00B8KF9B49,B8KF9B4,IE,SHRS,GBX,TP_2,TM_47,JE,WPP,WPP,ORD 10P,2000,1,5,106383688,108072319,17/12/2018
SET1,FS10,COCA-COLA HBC AG,CH0198251305,B9895B7,DE,SHRS,GBX,TP_2,TM_47,GB,CCH,COCACOLA HBC AG,ORD CHF6.70 (CDI),750,1,5,81770496,80148066,15/08/2017
SET1,FS10,SAGE GROUP PLC,GB00B8C3BL03,B8C3BL0,DE,SHRS,GBX,TP_2,TM_47,GB,SGE,SAGE GRP.,ORD 1 4/77P,3000,1,5,55481505,56362165,23/03/2018
SET1,FS10,AVEVA GROUP PLC,GB00BBG9VN75,BBG9VN7,DE,SHRS,GBX,TP_2,TM_47,GB,AVV,AVEVA GRP,ORD 3 5/9P,500,1,5,30642975,31122659,24/06/2019
SET1,FS10,RSA INSURANCE GROUP PLC,GB00BKKMKR23,BKKMKR2,DE,SHRS,GBX,TP_2,TM_47,GB,RSA,RSA INS.,ORD GBP1.00,3000,1,5,83327671,84714830,15/08/2017
SET1,FS10,INFORMA PLC,GB00BMJ6DW54,BMJ6DW5,DE,SHRS,GBX,TP_2,TM_47,GB,INF,INFORMA,ORD 0.1P,2000,1,5,85195601,100294890,18/06/2018
SET1,FS10,B&M EUROPEAN VALUE RETAIL S.A.,LU1072616219,BMTRW10,DE,SHRS,GBX,TP_2,TM_47,GB,BME,B&M EUROPEAN,ORD 10P (DI),3000,1,5,38931435,39639460,21/09/2020
SET1,FS10,AUTO TRADER GROUP PLC,GB00BVYVFW23,BVYVFW2,DE,SHRS,GBX,TP_2,TM_47,GB,AUTO,AUTO TRAD,ORD 1P,3000,1,5,63543865,64536607,31/12/2018
SET1,FS10,SPIRAX-SARCO ENGINEERING PLC,GB00BWFGQN14,BWFGQN1,DE,SHRS,GBX,TP_2,TM_47,GB,SPX,SPIRAX-SARCO,ORD 26 12/13P,200,1,5,54111763,55287578,24/12/2018
SET1,FS10,JOHNSON MATTHEY PLC,GB00BZ4BQC70,BZ4BQC7,DE,SHRS,GBX,TP_2,TM_47,GB,JMAT,JOHNSON MATTHEY,ORD 110 49/53P,500,1,5,55981203,56869794,15/08/2017
SET1,FS10,MELROSE INDUSTRIES PLC,GB00BZ1G4322,BZ1G432,DE,SHRS,GBX,TP_2,TM_47,GB,MRO,MELROSE IND,ORDS 48/7P,10000,1,5,97941564,99496193,24/04/2018
SET1,FS10,SMURFIT KAPPA GROUP PLC,IE00B1RR8406,B1RR840,IE,SHRS,GBX,TP_2,TM_46,IE,SKG,SMURFIT KAP.,ORD EUR0.001,750,1,5,68098029,68098029,04/12/2017
SET1,FS10,INTERMEDIATE CAPITAL GROUP PLC,GB00BYT1DJ19,BYT1DJ1,DE,SHRS,GBX,TP_2,TM_46,GB,ICP,INT.CAP.GRP,ORD 26 1/4P,1500,1,5,24458417,24806914,23/03/2020
SET1,FS10,JD SPORTS FASHION PLC,GB00BYX91H57,BYX91H5,DE,SHRS,GBX,TP_2,TM_47,GB,JD.,JD SPORTS,ORD 0.25P,3000,1,5,44365645,45069862,24/06/2019
SET1,FS10,PERSHING SQUARE HOLDINGS LTD,GG00BPFJTF46,BS7JCJ8,IE,SHRS,GBX,TP_2,TM_45,GG,PSH,PERSHING SQUARE,ORD NPV,1000,1,5,7689501,7689501,21/12/2020
SET1,FS10,LAND SECURITIES GROUP PLC,GB00BYW0PQ60,BYW0PQ6,DE,SHRS,GBX,TP_2,TM_48,GB,LAND,LAND SECS.,ORD 10 2/3P,2000,1,5,0,0,24/10/2017
SET1,FS10,AVAST PLC,GB00BDD85M81,BDD85M8,DE,SHRS,GBX,TP_2,TM_46,GB,AVST,AVAST,ORD 10P,3000,1,5,31750280,30490349,22/06/2020
SET1,FS10,RIGHTMOVE  PLC,GB00BGDT3G23,BGDT3G2,DE,SHRS,GBX,TP_2,TM_47,GB,RMV,RIGHTMOVE,ORD 0.1P,3000,1,5,38546129,39157973,31/08/2018
SET1,FS10,STANDARD LIFE ABERDEEN PLC,GB00BF8Q6K64,BF8Q6K6,DE,SHRS,GBX,TP_2,TM_47,GB,SLA,STD LIFE ABER,ORD 13 61/63P,7500,1,5,81247104,82536741,22/10/2018
SET1,FS10,PHOENIX GROUP HOLDINGS PLC,GB00BGXQNP29,BGXQNP2,DE,SHRS,GBX,TP_2,TM_47,GB,PHNX,PHOENIX GRP HDG,ORD 10P,1000,1,5,25018094,25448407,18/03/2019
SET1,FS10,INTERCONTINENTAL HOTELS GROUP PLC,GB00BHJYC057,BHJYC05,DE,SHRS,GBX,TP_2,TM_47,GB,IHG,INTERCON. HOTEL,ORD 20 340/399P,500,1,5,78036390,79315675,14/01/2019
SET1,FS10,CRODA INTERNATIONAL PLC,GB00BJFFLV09,BJFFLV0,DE,SHRS,GBX,TP_2,TM_47,GB,CRDA,CRODA INTL.,ORD 10.609756P,300,1,5,63024255,64498507,29/04/2019
SET1,FS10,M&G PLC,GB00BKFB1C65,BKFB1C6,DE,SHRS,GBX,TP_2,TM_47,GB,MNG,M&G PLC,ORD Â£0.0,7500,1,5,180147506,136912105,16/12/2019
SET1,FS10,JUST EAT TAKEAWAY.COM N.V.,NL0012015705,BKM1QM4,DE,SHRS,GBX,TP_2,TM_47,GB,JET,JUST EAT TAKEAW,ORD EUR0.04 (CDI),200,1,5,58758266,58758266,14/12/2020
,,,,,,,,,,,,,,,,,,,
SET3,OL25,FINABLR PLC,GB00BJ7HMW26,BJ7HMW2,DE,SHRS,GBX,TP_31,TM_45,GB,FIN,FINABLR,ORD 1P,30000,5,25,2579132,2948926,21/09/2020
SET3,ON10,XAAR PLC,GB0001570810,0157081,DE,SHRS,GBX,TP_27,TM_44,GB,XAR,XAAR,ORD 10P,5000,3,10,355958,361633,24/06/2019
SET3,ON10,CARCLO PLC,GB0001751915,0175191,DE,SHRS,GBX,TP_27,TM_44,GB,CAR,CARCLO,ORD 5P,30000,3,10,86512,123979,22/06/2020
SET3,ON10,TCLARKE PLC,GB0002015021,0201502,DE,SHRS,GBX,TP_27,TM_44,GB,CTO,TCLARKE,ORD 10P,5000,3,10,22499272,178565,21/09/2020
SET3,ON10,TOWN CENTRE SECURITIES PLC,GB0003062816,0306281,DE,SHRS,GBX,TP_27,TM_43,GB,TOWN,TOWN CENTRE,ORD 25P,3000,3,10,67186,68253,21/09/2020
SET3,ON10,CARILLION PLC,GB0007365546,0736554,DE,SHRS,GBX,TP_27,TM_43,GB,CLLN,CARILLION,ORD 50P,20000,3,10,0,7,18/01/2018
SET3,ON10,HENDERSON OPPORTUNITIES TRUST PLC,GB0008536574,0853657,DE,SHRS,GBX,TP_27,TM_44,GB,HOT,HEND.OPP,ORD 25P,300,3,10,12159225,96501,21/09/2020
SET3,ON10,MOTHERCARE PLC,GB0009067447,0906744,DE,SHRS,GBX,TP_27,TM_44,GB,MTC,MOTHERCARE,ORD 1P,50000,3,10,157068,156444,27/07/2018
SET3,ON10,FRENCH CONNECTION GROUP PLC,GB0033764746,3376474,DE,SHRS,GBX,TP_27,TM_43,GB,FCCN,FRENCH CNCTN.,ORD 1P,20000,3,10,20220,20140,21/09/2020
SET3,ON10,NANOCO GROUP PLC,GB00B01JLR99,B01JLR9,DE,SHRS,GBX,TP_27,TM_45,GB,NANO,NANOCO,ORD 10P,30000,3,10,507757,509772,23/09/2019
SET3,ON10,BLACKROCK ENERGY & RES. INC.TST PLC,GB00B0N8MF98,B0N8MF9,DE,SHRS,GBX,TP_27,TM_44,GB,BERI,BLACKROCK ENGY,ORD 1P,5000,3,10,0,251690,14/05/2019
SET3,ON10,LOOKERS PLC,GB00B17MMZ46,B17MMZ4,DE,SHRS,GBX,TP_27,TM_45,GB,LOOK,LOOKERS,ORD  5P,20000,3,10,1038468,1054952,21/12/2020
SET3,ON10,SMITHS NEWS PLC,GB00B17WCR61,B17WCR6,DE,SHRS,GBX,TP_27,TM_44,GB,SNWS,SMITHS NEWS,ORD 5P,15000,3,10,150763,153594,05/11/2020
SET3,ON10,LAMPRELL PLC,GB00B1CL5249,B1CL524,IE,SHRS,GBX,TP_27,TM_44,IM,LAM,LAMPRELL,ORD 5P,15000,3,10,148452,147863,22/06/2020
SET3,ON10,GLANBIA PLC,IE0000669501,0066950,IE,SHRS,EUR,TP_27,TM_46,IE,GLB,GLANBIA,ORD EUR0.06,1000,.03,10,18460320,18460320,03/01/2018
SET3,ON10,GEM DIAMONDS LD,VGG379591065,B1P8H48,DE,SHRS,GBX,TP_27,TM_44,GB,GEMD,GEM DIAMONDS DI,ORD USD0.01 (DI),10000,3,10,160988,188096,22/06/2020
SET3,ON10,THIRD POINT INVESTORS LIMITED,GG00B1YQ7219,B1YQ721,IE,SHRS,USD,TP_27,TM_44,GG,TPOU,THIRD POI. $,ORD NPV $,750,.03,10,174960864,1388578,14/08/2020
SET3,ON10,PRINCESS PRIVATE EQUITY HOLDING LD,GG00B28C2R28,B28C2R2,IE,SHRS,EUR,TP_27,TM_44,GG,PEY,PRINCESS PRIV E,ORD EUR0.001 (EUR),750,.03,10,908609,912215,18/12/2017
SET3,ON10,SECURE TRUST BANK PLC,GB00B6TKHP66,B6TKHP6,DE,SHRS,GBX,TP_27,TM_44,GB,STB,SECURE TRUST,ORD 40P,500,3,10,516308,524504,21/09/2020
SET3,ON10,CVC CREDIT PARTNERS EUROPEAN OPPORT,JE00B9G79F59,B9G79F5,IE,SHRS,EUR,TP_27,TM_43,JE,CCPE,CVC CREDIT EUR,ORD NPV EURO,5000,.03,10,107188,108889,21/09/2020
SET3,ON10,MCCOLL'S RETAIL GROUP PLC,GB00BJ3VW957,BJ3VW95,DE,SHRS,GBX,TP_27,TM_44,GB,MCLS,MCCOLL'S,ORD GBP0.001,10000,3,10,144462,143888,21/09/2020
SET3,ON10,NOSTRUM OIL & GAS PLC,GB00BGP6Q951,BGP6Q95,DE,SHRS,GBX,TP_27,TM_45,GB,NOG,NOSTRUM OIL&GAS,ORD 1P,30000,3,10,470389,468597,23/09/2019
SET3,ON10,SCS GROUP PLC,GB00BRF0TJ56,BRF0TJ5,DE,SHRS,GBX,TP_27,TM_44,GB,SCS,SCS GROUP,ORD 0.1P,2000,3,10,177118,179930,24/10/2017
SET3,ON10,AIR PARTNER PLC,GB00BD736828,BD73682,DE,SHRS,GBX,TP_27,TM_44,GB,AIR,AIR PARTNER,ORD 1P,5000,3,10,12099343,96026,21/12/2020
