Trading Name,Trading Code,RIC,Mkt Cap ($M),Tot. Rev ($M),P/E,Yield (%),Sector,GTI Score
Cordlife,P8A,CORD.SI,102.997,50.616,15.09,2.34,Healthcare Services,59
Cortina,C41,CORT.SI,365.928,430.615,10.48,2.71,Retailers,75
COSCO SHP SG,F83,COSC.SI,750.147,185.843,90.05,,Transportation,55
CosmoSteel,B9S,COSM.SI,29.33,86.757,5.56,4.95,Mineral Resources,85
Courage Inv,CIN,1145.HK,400.662,61.469,,,Transportation,
CPH,539,CIPH.SI,8.605,,,,Real Estate,59
Creative,C76,CREA.SI,201.75,102.961,,,Technology Equipment,58
CreditBureauAsia,TCU,CRED.SI,301.811,43.378,38.96,,Industrial & Commercial Services,
CromwellReit EUR,CNNU,CROM.SI,1314.426,186.972,15.14,7.41,Real Estate,95.4
CromwellReit SGD,CSFU,,,,,,,
CSC,C06,CSCH.SI,53.517,225.173,,,Industrial & Commercial Services,56
CSE Global,544,CSES.SI,296.739,502.789,10.6,4.78,Software & IT Services,78
CWX Global,594,CWXG.SI,27.472,2.446,,,Energy - Fossil Fuels,80
DairyFarm USD,D01,DAIR.SI,5790.42,10268.5,21.37,3.86,Food & Drug Retailing,
Darco Water Tech,BLR,DRWT.SI,15.951,,,,Industrial & Commercial Services,67
Dasin Retail Tr,CEDU,DASI.SI,565.294,87.476,,5.43,Real Estate,85.9
Datapulse Tech,BKW,DATA.SI,39.583,0.68,,,Technology Equipment,63
DBS,D05,DBSM.SI,74751.563,12208,16.02,3,Banking & Investment Services,123
Debao Property,BTF,DPDL.SI,9.6,71.487,,,Real Estate,40
Del Monte Pac,D03,DMPL.SI,1079.826,3060.569,12.49,,Food & Beverages,109
Delfi,P34,DELF.SI,522.539,511.747,22.51,3.73,Food & Beverages,85
Design Studio,D11,DESS.SI,21.602,114.686,,,Retailers,54
DISA,532,DISA.SI,20.077,10.365,,,Consumer Goods Conglomerates,61
Don Agro,GRQ,DONA.SI,57.855,30.996,6.54,3.01,Food & Beverages,
Dragon,MT1,DRGN.SI,1.343,2.739,,,Industrial Goods,64
Dukang,BKV,DDHL.SI,6.706,22.295,,,Food & Beverages,54
Dutech,CZ4,DTHL.SI,90.917,360.505,6.06,3.92,Technology Equipment,62
Duty Free Intl,5SO,DUTY.SI,97.107,102.748,,6.33,Transportation,63
Dyna-Mac,NO4,DMHL.SI,102.321,84.037,,,Industrial Goods,79
Eagle HTrust USD,LIW,EAGL.SI,119.567,69.414,,25.39,Real Estate,
EC World Reit,BWCU,ECWO.SI,592.985,109.726,38.26,7.29,Real Estate,80.3
Econ Healthcare,EHG,,,,,,,
EcoWise,5CT,ECOW.SI,31.597,50.811,30,,Industrial & Commercial Services,78
Edition,5HG,EDIT.SI,25.233,,,,Food & Beverages,64
Eindec,42Z,EIND.SI,7.862,,,,Industrial Goods,58
EliteComREIT GBP,MXNU,ELIE.SI,312.218,20.963,9.53,7.52,Real Estate,
Ellipsiz,BIX,ELPZ.SI,61.837,54.565,4.11,2.7,Technology Equipment,54
EMAS Offshore,UQ4,,,,,,,
Eneco Energy,R14,ENEC.SI,16.866,36.616,,,Transportation,38
EnGro,S44,ENGR.SI,152.393,96.934,6.9,1.95,Mineral Resources,88
Envictus,BQD,ETIK.SI,34.135,129.1,,,Cyclical Consumer Services,52
Enviro-Hub,L23,EHHL.SI,95.518,30.77,,,Industrial & Commercial Services,56
Epicentre,5MQ,EPHL.SI,2.815,-3.175,,,Retailers,54
ES,5RC,ESGL.SI,10.308,17.533,10.5,2.05,Industrial Goods,72
ESR-REIT,J91U,ESRR.SI,1436.45,229.924,588.24,6.31,Real Estate,86.1
ETC Singapore,1C0,EMER.SI,33.39,27.827,,,Real Estate,82
EuroSports Gbl,5G1,EURO.SI,75.525,62.321,,,Retailers,71
Excelpoint,BDF,EXCE.SI,84.532,1473.158,6.16,4.26,Technology Equipment,72
Ezion,5ME,EZHL.SI,153.893,49.596,,,Energy - Fossil Fuels,82
Ezra,5DN,EZRA.SI,31.552,697.763,,,Energy - Fossil Fuels,30
F & N,F99,FRNM.SI,2163.235,1833.501,14.61,3.36,Food & Beverages,79
Fabchem China,BFT,FBCH.SI,17.55,27.078,,,Chemicals,68
Falcon Energy,5FL,FEGL.SI,22.777,39.56,,,Energy - Fossil Fuels,50
Far East,5TJ,FAEA.SI,11.592,54.704,,1.73,Industrial Goods,68
Far East HTrust,Q5T,FAEH.SI,1257.038,83.254,,3.13,Real Estate,99.2
Far East Orchard,O10,FARE.SI,532.917,112.215,329.58,5.13,Cyclical Consumer Services,92
Federal Int,BDU,FEDL.SI,17.314,68.142,,,Energy - Fossil Fuels,83
Figtree,5F4,FIGT.SI,22.422,8.817,,4.76,Real Estate,70
First Reit,AW9U,FRET.SI,424.467,79.619,,,Real Estate,74.9
First Resources,EB5,FRLD.SI,2360.269,877.573,17.79,2.01,Food & Beverages,94
First Sponsor,ADN,FSCA.SI,1306.058,203.936,15.56,2.73,Real Estate,86
FJ Benjamin,F10,FJBN.SI,39.491,68.194,,,Retailers,53
Food Empire,F03,FEMP.SI,500.055,362.724,13.9,2.39,Food & Beverages,42
Forise Int,8A1,FOIL.SI,4.175,2.21,,,Industrial & Commercial Services,
FortressMinerals,OAJ,FORR.SI,210,51.257,11.04,0.86,Mineral Resources,65
Fragrance,F31,FRAG.SI,779.52,111.305,464,3.02,Cyclical Consumer Services,60
Frasers Cpt Tr,J69U,FCRT.SI,4161.35,164.377,18.2,,Real Estate,76.2
Frasers HTrust,ACV,FRHO.SI,1107.492,88.573,,2.32,Real Estate,86.3
Frasers L&C Tr,BUOU,FRAE.SI,5040.166,334.558,7.97,4.84,Real Estate,92.5
Frasers Property,TQ5,FRPL.SI,4895.107,3597.007,33.02,1.2,Real Estate,87
Frencken,E28,FREN.SI,683.156,620.616,16.02,1.88,Industrial Goods,57
FSL Trust,D8DU,FSLT.SI,157.357,64.224,18.97,46.07,Transportation,81.4
Fu Yu,F13,FUYU.SI,240.958,153.442,14.24,5,Industrial Goods,84
Fuji Offset,508,FOPS.SI,16.721,,,0.9,Industrial Goods,79
Full Apex,BTY,FULL.SI,17.365,202.996,,,Applied Resources,7
Fuxing China,AWK,FXCG.SI,12.938,142.716,,,Cyclical Consumer Products,54
G Invacom,QS9,GLOB.SI,26.546,136.943,7.35,,Technology Equipment,68
G K Goh,G41,GKHS.SI,334.554,135.617,710.34,1.94,Industrial & Commercial Services,61
Gallant Venture,5IG,GLVT.SI,710.714,138.19,,,Automobiles & Auto Parts,75
GCCP,41T,GCCP.SI,21.482,,,,Mineral Resources,49
GDS Global,5VP,GDSG.SI,7.392,14.282,,4.55,Cyclical Consumer Products,63
Genting Sing,G13,GENS.SI,10884.624,1063.749,160.14,1.11,Cyclical Consumer Services,83
